#rho      theta    alpha    beta     theta    phi      shift    

+23,596  ,-2,160   ,+0,362   ,-0,378   ,+0,17453 ,-0,52360 ,+18,000  
+22,915  ,-2,129   ,+0,350   ,-0,389   ,+0,17453 ,-0,52360 ,+19,000  
+22,259  ,-2,096   ,+0,337   ,-0,401   ,+0,17453 ,-0,52360 ,+20,000  
+21,629  ,-2,060   ,+0,323   ,-0,412   ,+0,17453 ,-0,52360 ,+21,000  
+21,027  ,-2,023   ,+0,307   ,-0,424   ,+0,17453 ,-0,52360 ,+22,000  
+20,457  ,-1,983   ,+0,290   ,-0,436   ,+0,17453 ,-0,52360 ,+23,000  
+19,921  ,-1,941   ,+0,271   ,-0,448   ,+0,17453 ,-0,52360 ,+24,000  
+19,421  ,-1,897   ,+0,251   ,-0,459   ,+0,17453 ,-0,52360 ,+25,000  
+18,961  ,-1,851   ,+0,230   ,-0,470   ,+0,17453 ,-0,52360 ,+26,000  
+18,544  ,-1,803   ,+0,207   ,-0,481   ,+0,17453 ,-0,52360 ,+27,000  
+18,172  ,-1,752   ,+0,182   ,-0,491   ,+0,17453 ,-0,52360 ,+28,000  
+18,419  ,-1,787   ,-0,398   ,+0,968   ,+0,17453 ,+1,04720 ,+0,000   
+18,063  ,-1,735   ,-0,348   ,+0,988   ,+0,17453 ,+1,04720 ,+1,000   
+18,058  ,-1,058   ,+0,348   ,+0,988   ,+0,17453 ,+1,04720 ,+13,000  
+18,414  ,-1,007   ,+0,398   ,+0,969   ,+0,17453 ,+1,04720 ,+14,000  
+18,816  ,-0,958   ,+0,445   ,+0,948   ,+0,17453 ,+1,04720 ,+15,000  
+19,262  ,-0,911   ,+0,489   ,+0,926   ,+0,17453 ,+1,04720 ,+16,000  
+19,749  ,-0,866   ,+0,530   ,+0,903   ,+0,17453 ,+1,04720 ,+17,000  
+20,273  ,-0,823   ,+0,568   ,+0,880   ,+0,17453 ,+1,04720 ,+18,000  
+20,833  ,-0,783   ,+0,603   ,+0,856   ,+0,17453 ,+1,04720 ,+19,000  
+21,424  ,-0,745   ,+0,635   ,+0,833   ,+0,17453 ,+1,04720 ,+20,000  
+22,045  ,-0,709   ,+0,665   ,+0,809   ,+0,17453 ,+1,04720 ,+21,000  
+22,693  ,-0,675   ,+0,692   ,+0,786   ,+0,17453 ,+1,04720 ,+22,000  
+23,365  ,-0,642   ,+0,717   ,+0,763   ,+0,17453 ,+1,04720 ,+23,000  
+23,894  ,-2,209   ,+0,410   ,-0,325   ,+0,26180 ,-0,52360 ,+17,000  
+23,119  ,-2,182   ,+0,401   ,-0,336   ,+0,26180 ,-0,52360 ,+18,000  
+22,362  ,-2,154   ,+0,391   ,-0,348   ,+0,26180 ,-0,52360 ,+19,000  
+21,624  ,-2,123   ,+0,381   ,-0,360   ,+0,26180 ,-0,52360 ,+20,000  
+20,909  ,-2,090   ,+0,369   ,-0,372   ,+0,26180 ,-0,52360 ,+21,000  
+20,217  ,-2,055   ,+0,355   ,-0,385   ,+0,26180 ,-0,52360 ,+22,000  
+19,552  ,-2,017   ,+0,341   ,-0,398   ,+0,26180 ,-0,52360 ,+23,000  
+18,917  ,-1,977   ,+0,324   ,-0,411   ,+0,26180 ,-0,52360 ,+24,000  
+18,314  ,-1,934   ,+0,306   ,-0,425   ,+0,26180 ,-0,52360 ,+25,000  
+18,245  ,-0,689   ,+0,608   ,+0,852   ,+0,26180 ,+1,04720 ,+19,000  
+18,844  ,-0,646   ,+0,645   ,+0,825   ,+0,26180 ,+1,04720 ,+20,000  
+19,475  ,-0,605   ,+0,678   ,+0,798   ,+0,26180 ,+1,04720 ,+21,000  
+20,137  ,-0,567   ,+0,707   ,+0,772   ,+0,26180 ,+1,04720 ,+22,000  
+20,825  ,-0,532   ,+0,734   ,+0,747   ,+0,26180 ,+1,04720 ,+23,000  
+21,538  ,-0,499   ,+0,759   ,+0,722   ,+0,26180 ,+1,04720 ,+24,000  
+22,273  ,-0,468   ,+0,781   ,+0,698   ,+0,26180 ,+1,04720 ,+25,000  
+23,028  ,-0,439   ,+0,800   ,+0,675   ,+0,26180 ,+1,04720 ,+26,000  
+23,801  ,-0,412   ,+0,818   ,+0,653   ,+0,26180 ,+1,04720 ,+27,000  
+23,541  ,-2,230   ,+0,443   ,-0,279   ,+0,34907 ,-0,52360 ,+17,000  
+22,701  ,-2,207   ,+0,436   ,-0,289   ,+0,34907 ,-0,52360 ,+18,000  
+21,875  ,-2,181   ,+0,429   ,-0,300   ,+0,34907 ,-0,52360 ,+19,000  
+21,064  ,-2,154   ,+0,420   ,-0,312   ,+0,34907 ,-0,52360 ,+20,000  
+20,269  ,-2,125   ,+0,411   ,-0,324   ,+0,34907 ,-0,52360 ,+21,000  
+19,494  ,-2,093   ,+0,401   ,-0,337   ,+0,34907 ,-0,52360 ,+22,000  
+18,740  ,-2,059   ,+0,389   ,-0,351   ,+0,34907 ,-0,52360 ,+23,000  
+18,010  ,-2,021   ,+0,376   ,-0,365   ,+0,34907 ,-0,52360 ,+24,000  
+18,363  ,-0,403   ,+0,764   ,+0,716   ,+0,34907 ,+1,04720 ,+23,000  
+19,106  ,-0,368   ,+0,790   ,+0,688   ,+0,34907 ,+1,04720 ,+24,000  
+19,870  ,-0,335   ,+0,812   ,+0,661   ,+0,34907 ,+1,04720 ,+25,000  
+20,655  ,-0,304   ,+0,832   ,+0,636   ,+0,34907 ,+1,04720 ,+26,000  
+21,458  ,-0,276   ,+0,849   ,+0,613   ,+0,34907 ,+1,04720 ,+27,000  
+22,277  ,-0,249   ,+0,865   ,+0,590   ,+0,34907 ,+1,04720 ,+28,000  
+23,244  ,-2,253   ,+0,471   ,-0,229   ,+0,43633 ,-0,52360 ,+17,000  
+22,349  ,-2,233   ,+0,466   ,-0,238   ,+0,43633 ,-0,52360 ,+18,000  
+21,463  ,-2,212   ,+0,461   ,-0,248   ,+0,43633 ,-0,52360 ,+19,000  
+20,588  ,-2,189   ,+0,455   ,-0,258   ,+0,43633 ,-0,52360 ,+20,000  
+19,724  ,-2,164   ,+0,449   ,-0,270   ,+0,43633 ,-0,52360 ,+21,000  
+18,874  ,-2,137   ,+0,441   ,-0,282   ,+0,43633 ,-0,52360 ,+22,000  
+18,039  ,-2,107   ,+0,433   ,-0,295   ,+0,43633 ,-0,52360 ,+23,000  
+18,459  ,-0,146   ,+0,874   ,+0,576   ,+0,43633 ,+1,04720 ,+26,000  
+19,302  ,-0,118   ,+0,890   ,+0,551   ,+0,43633 ,+1,04720 ,+27,000  
+20,159  ,-0,092   ,+0,905   ,+0,528   ,+0,43633 ,+1,04720 ,+28,000  
